#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7082.98875137749,-5545.161660771594,294.5188959411857,0
50000,99.99999999994834,-7111.840877152386,-5625.029219041436,284.74861100723143,1.9e+03
75000,149.99999999998812,-7033.59006226152,-5477.056819384911,298.10142829981856,1.91e+03
100000,200.00000000022686,-7098.693755997923,-5428.3605159088065,319.89597837757316,1.9e+03
125000,250.0000000004656,-7044.673998950304,-5481.127805299981,299.4445224173441,1.89e+03
150000,300.00000000070435,-7120.04497934392,-5591.07396896038,292.82281256133894,1.89e+03
175000,350.0000000009431,-7063.982627134372,-5471.487489514721,304.9887159541808,1.89e+03
200000,400.00000000118183,-7094.252849663148,-5575.945113393293,290.78062216277885,1.89e+03
225000,450.0000000014206,-7062.73920149136,-5458.190759927642,307.29711966987537,1.89e+03
250000,500.0000000016593,-7024.415363781836,-5525.393129022432,287.08713500337916,1.88e+03
275000,550.000000000818,-7140.802653602241,-5599.291580147833,295.2244385654754,1.89e+03
300000,599.9999999996356,-7003.03268271036,-5501.349060311879,287.5968340156547,1.89e+03
325000,649.9999999984533,-7051.928024608643,-5511.489915555856,295.01894843405546,1.9e+03
350000,699.999999997271,-7084.56286923704,-5509.7819444704355,301.59615612491507,1.9e+03
375000,749.9999999960886,-7208.886872801456,-5699.82126843324,289.0106036083904,1.9e+03
400000,799.9999999949063,-7035.520559073324,-5360.576053809444,320.7791106467728,1.91e+03
425000,849.9999999937239,-7076.3576455200655,-5553.704766229923,291.6127877117272,1.91e+03
450000,899.9999999925416,-7123.598445652114,-5621.592966812637,287.65847475812336,1.91e+03
475000,949.9999999913592,-7181.234445661467,-5680.411647539595,287.4319721679899,1.91e+03
500000,999.9999999901769,-7206.558417696413,-5624.826503780275,302.92738358379216,1.91e+03
525000,1049.9999999889947,-7114.775489853984,-5505.074073965468,308.2839980505617,1.91e+03
550000,1099.9999999878123,-7050.177752547211,-5544.936902276504,288.2781010007007,1.92e+03
575000,1149.99999998663,-6958.292928032591,-5355.309004582967,306.9974890088877,1.92e+03
600000,1199.9999999854476,-7203.486374407333,-5560.07434691156,314.7401283741339,1.92e+03
625000,1249.9999999842653,-7107.59458531119,-5551.756172673112,297.9683570098351,1.92e+03
650000,1299.999999983083,-7125.296601959027,-5561.952599981477,299.4057994239742,1.92e+03
675000,1349.9999999819006,-7100.645026437953,-5525.841648885644,301.600456198504,1.92e+03
700000,1399.9999999807183,-7097.798417341401,-5576.917874587203,291.2733564434191,1.92e+03
725000,1449.999999979536,-7035.122968109778,-5477.930304695965,298.2277180561671,1.92e+03
750000,1499.9999999783536,-7110.201501612051,-5544.519484330578,299.85356737539826,1.92e+03
775000,1549.9999999771712,-7055.353033013963,-5530.811385400424,291.9745175607416,1.92e+03
800000,1599.9999999759889,-7055.357811544097,-5413.89147681793,314.3674965679668,1.92e+03
825000,1649.9999999748065,-7151.1855791959215,-5634.81894729354,290.4088691102366,1.92e+03
850000,1699.9999999736242,-7109.579545780224,-5484.600403381823,311.20993112305695,1.92e+03
875000,1749.9999999724419,-7129.804753277925,-5494.966335731213,313.09814264514455,1.92e+03
900000,1799.9999999712595,-7214.059281639389,-5601.112286429314,308.9055792701373,1.92e+03
925000,1849.9999999700772,-7179.332618559431,-5578.02895546343,306.675691826834,1.92e+03
950000,1899.9999999688948,-7168.679675586661,-5606.71595991856,299.1414521495473,1.92e+03
975000,1949.9999999677125,-7068.558536538879,-5552.171407563672,290.4127946330054,1.92e+03
1000000,1999.9999999665301,-7138.404973576353,-5496.5352969447895,314.4447431019821,1.92e+03
1025000,2049.999999965348,-7002.40267533944,-5328.174039423252,320.64201002524754,1.92e+03
1050000,2099.9999999641655,-7098.757582644465,-5457.424053032598,314.3420622289063,1.91e+03
1075000,2149.999999962983,-7197.132416258137,-5565.627420851458,312.4597380973346,1.91e+03
1100000,2199.9999999618008,-7191.573032408483,-5540.500277462174,316.20728225939234,1.91e+03
1125000,2249.9999999606184,-7225.69819675366,-5664.8452742117115,298.9287172022103,1.91e+03
1150000,2299.999999959436,-7137.296510002199,-5642.497102420145,286.27839492744926,1.91e+03
1175000,2349.9999999582537,-7077.362276608659,-5597.695820559867,283.38018861730313,1.91e+03
1200000,2399.9999999570714,-7159.091244568422,-5518.943785269311,314.1149104761797,1.91e+03
1225000,2449.999999955889,-6999.578813481897,-5408.644779627635,304.6897391964943,1.91e+03
1250000,2499.9999999547067,-7052.525084138781,-5447.626908248258,307.3640994808257,1.91e+03
1275000,2549.9999999535244,-7103.376944948889,-5520.2957450222275,303.1857937968491,1.91e+03
1300000,2599.999999952342,-7061.742318159651,-5379.376813584708,322.2003526948718,1.92e+03
1325000,2649.9999999511597,-7025.981912700794,-5517.8446649704665,288.8328082153318,1.92e+03
1350000,2699.9999999499773,-7294.94178104622,-5713.683945028108,302.83658995688216,1.92e+03
