#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-6997.619039183469,-5367.383910082613,312.21653804924824,0
50000,99.99999999994834,-7092.338549566288,-5423.833943296596,319.54576526397443,1.92e+03
75000,149.99999999998812,-7064.227556541774,-5405.63604750243,317.6472459379235,1.92e+03
100000,200.00000000022686,-7019.946216754902,-5512.087800960904,288.7794073651694,1.93e+03
125000,250.0000000004656,-7081.781402244172,-5560.926573593814,291.26843177437195,1.93e+03
150000,300.00000000070435,-7086.223878420977,-5510.837098844302,301.71218717343316,1.93e+03
175000,350.0000000009431,-7018.3808522336685,-5516.423385879543,287.6492795864012,1.93e+03
200000,400.00000000118183,-7088.043398188733,-5418.312814572947,319.7805598625519,1.93e+03
225000,450.0000000014206,-7026.5951379931985,-5464.506201508719,299.16543397222034,1.94e+03
250000,500.0000000016593,-7009.494393251221,-5443.3329144161935,299.9453920598909,1.93e+03
275000,550.000000000818,-7106.964900014536,-5508.252545936113,306.1794140101915,1.93e+03
300000,599.9999999996356,-7070.929857428165,-5471.273764058691,306.3601554314829,1.93e+03
325000,649.9999999984533,-7038.366843747444,-5409.374256079541,311.9785711586726,1.93e+03
350000,699.999999997271,-7132.836155374006,-5640.244939728829,285.85549026199755,1.93e+03
375000,749.9999999960886,-6978.364715843561,-5457.98059259203,291.1782840359019,1.93e+03
400000,799.9999999949063,-6952.886939560469,-5350.389374964654,306.90434337923267,1.93e+03
425000,849.9999999937239,-7177.967077482249,-5603.584165364616,301.5199302301693,1.93e+03
450000,899.9999999925416,-6965.931520659602,-5471.134373239356,286.2779620697082,1.93e+03
475000,949.9999999913592,-7003.159571674986,-5414.327968273228,304.28708957518967,1.93e+03
500000,999.9999999901769,-7143.918584170024,-5543.782031557059,306.45217118982293,1.93e+03
525000,1049.9999999889947,-7113.641292273913,-5488.900892275307,311.1642080710755,1.93e+03
550000,1099.9999999878123,-6999.127069697019,-5270.630026398987,331.03529254980623,1.93e+03
575000,1149.99999998663,-7110.219775768832,-5493.116758530954,309.70152507354584,1.93e+03
600000,1199.9999999854476,-7025.902304468004,-5496.524526240291,292.9007152183424,1.93e+03
625000,1249.9999999842653,-7076.7727944987255,-5426.083462449823,316.1338505393294,1.94e+03
650000,1299.999999983083,-7064.287859330487,-5436.1220002314285,311.8202391935078,1.94e+03
675000,1349.9999999819006,-7052.761956531815,-5521.061486779943,293.34554841674674,1.94e+03
700000,1399.9999999807183,-6958.978057018998,-5347.902917694518,308.54708842799107,1.94e+03
725000,1449.999999979536,-7099.503837252564,-5516.211044712052,303.2263172233132,1.94e+03
750000,1499.9999999783536,-7136.0058089621325,-5635.416781626473,287.3872012608578,1.94e+03
775000,1549.9999999771712,-7088.257389211758,-5477.313846330153,308.5218855691638,1.94e+03
800000,1599.9999999759889,-7017.856666846261,-5410.824604999811,307.77277334256445,1.93e+03
825000,1649.9999999748065,-6994.02126762923,-5397.133857638365,305.8299075402475,1.93e+03
850000,1699.9999999736242,-7081.537144751072,-5560.9213439782625,291.2226540487587,1.93e+03
875000,1749.9999999724419,-6998.449011495968,-5571.476719652898,273.2883992612589,1.93e+03
900000,1799.9999999712595,-7099.266509453465,-5441.540521416412,317.4814845909127,1.93e+03
925000,1849.9999999700772,-6992.741413725618,-5477.098559529439,290.2702539094514,1.93e+03
950000,1899.9999999688948,-6975.325506773448,-5462.632559843915,289.7052986966,1.93e+03
975000,1949.9999999677125,-7048.679549034019,-5485.580833794041,299.35882302488494,1.93e+03
1000000,1999.9999999665301,-7197.390838029377,-5549.223675949808,315.6508139747624,1.93e+03
1025000,2049.999999965348,-7061.455342429375,-5492.143654164332,300.54870839433414,1.93e+03
1050000,2099.9999999641655,-7190.148366427873,-5539.581350081364,316.11042509322743,1.93e+03
1075000,2149.999999962983,-7132.056976422296,-5631.247969594882,287.4293309108276,1.93e+03
1100000,2199.9999999618008,-7126.8518481147785,-5500.465817099144,311.47937317203025,1.93e+03
1125000,2249.9999999606184,-7088.969743121817,-5561.1443501088415,292.6034082048863,1.93e+03
1150000,2299.999999959436,-7029.07611022282,-5559.313959089588,281.4833531625145,1.93e+03
1175000,2349.9999999582537,-7032.58594815242,-5563.703932193591,281.3147929638891,1.93e+03
1200000,2399.9999999570714,-7081.9509923612,-5552.920900823818,292.8341275630753,1.93e+03
1225000,2449.999999955889,-7136.9503808818545,-5535.19519257225,306.76216624792625,1.93e+03
1250000,2499.9999999547067,-7113.925455772493,-5607.787966787156,288.4498218956596,1.93e+03
1275000,2549.9999999535244,-7074.050489003714,-5521.394367388542,297.3588965286435,1.93e+03
1300000,2599.999999952342,-7177.009718395979,-5516.448113013779,318.024551425218,1.93e+03
1325000,2649.9999999511597,-7228.474426080048,-5607.14026268327,310.5118583697255,1.93e+03
1350000,2699.9999999499773,-7071.372908489771,-5586.822772858314,284.3154926756093,1.93e+03
1375000,2749.999999948795,-6976.876607119524,-5394.246754655739,303.0993534179118,1.93e+03
1400000,2799.9999999476127,-7095.845203808007,-5456.308388239088,313.9979622715809,1.93e+03
1425000,2849.9999999464303,-6861.361365334299,-5275.0530663526915,303.80383574484296,1.93e+03
1450000,2899.999999945248,-7050.038408442209,-5525.560174162969,291.9623728759982,1.93e+03
1475000,2949.9999999440656,-7022.051940241373,-5397.591789274198,311.1105358241566,1.93e+03
1500000,2999.9999999428833,-7097.579908107675,-5545.189063301495,297.30809170579954,1.93e+03
