#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7034.831680389156,-5491.755299975709,295.52422030309816,0
50000,99.99999999994834,-6981.380106520284,-5463.496744210138,290.69934764834017,1.92e+03
75000,149.99999999998812,-7005.2865969482855,-5333.460054190554,320.1819701226485,1.93e+03
100000,200.00000000022686,-7081.430026981565,-5449.159469208569,312.6063557400326,1.94e+03
125000,250.0000000004656,-6915.521395211191,-5284.88477810185,312.2934295318569,1.95e+03
150000,300.00000000070435,-7013.090712797815,-5427.26822359074,303.71079527279846,1.95e+03
175000,350.0000000009431,-6968.57786678094,-5290.807689346221,321.32027281846996,1.96e+03
200000,400.00000000118183,-7075.544802244753,-5529.044549661205,296.1799475025615,1.96e+03
225000,450.0000000014206,-7117.357458257993,-5581.658512442473,294.1113216060129,1.96e+03
250000,500.0000000016593,-6968.520052985799,-5345.086707481367,310.913885880167,1.95e+03
275000,550.000000000818,-7041.797062536094,-5429.159659325011,308.84628736775613,1.95e+03
300000,599.9999999996356,-7158.579442617766,-5577.209643700542,302.85803267279886,1.95e+03
325000,649.9999999984533,-6986.625777663931,-5401.189979319426,303.636737684263,1.95e+03
350000,699.999999997271,-6949.742437876056,-5406.268493483552,295.600360270259,1.95e+03
375000,749.9999999960886,-7122.268371203092,-5647.059738566452,282.526442940908,1.95e+03
400000,799.9999999949063,-7101.767985524823,-5517.350050281958,303.44180034784506,1.95e+03
425000,849.9999999937239,-7035.843606921516,-5456.222188011855,302.5231894692562,1.95e+03
450000,899.9999999925416,-6999.732071741415,-5406.228400613214,305.18186652180486,1.95e+03
475000,949.9999999913592,-7021.484764753543,-5513.381871060755,288.82622885847877,1.94e+03
500000,999.9999999901769,-6963.841864413067,-5279.232555250874,322.63007776200146,1.94e+03
525000,1049.9999999889947,-7062.022181601329,-5532.9583009805865,292.84059872201567,1.94e+03
550000,1099.9999999878123,-7059.287551295238,-5539.982442954624,290.97163513355866,1.94e+03
575000,1149.99999998663,-7060.484430595638,-5445.068020396631,309.37851239805735,1.94e+03
600000,1199.9999999854476,-6978.646539145773,-5466.539188387875,289.5931475067876,1.94e+03
625000,1249.9999999842653,-7076.947408546141,-5500.20891323947,301.9710627172809,1.94e+03
650000,1299.999999983083,-7003.219110246612,-5450.351908731214,297.3993217621108,1.94e+03
675000,1349.9999999819006,-6948.709446194382,-5464.246493840888,284.2987956601079,1.94e+03
700000,1399.9999999807183,-7200.549124142688,-5692.321670142917,288.8500841828612,1.94e+03
725000,1449.999999979536,-7041.0435978789055,-5499.6987710913,295.19259962528525,1.94e+03
