#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-6992.354470806294,-5438.694937655029,297.5510661552486,0
50000,99.99999999994834,-7067.060199116765,-5377.18284450767,323.6389941338533,1.91e+03
75000,149.99999999998812,-7128.513838683553,-5568.136322967326,298.8376690640356,1.9e+03
100000,200.00000000022686,-7098.244655993927,-5553.707835637262,295.80391830184755,1.9e+03
125000,250.0000000004656,-7170.878338792884,-5588.088202393436,303.1300503981229,1.9e+03
150000,300.00000000070435,-7056.781506367395,-5559.492454465706,286.75520230116774,1.9e+03
175000,350.0000000009431,-7071.524719979833,-5463.186312007851,308.0229598693588,1.9e+03
200000,400.00000000118183,-6906.336019211472,-5316.37923382363,304.50258022319474,1.9e+03
225000,450.0000000014206,-7090.503347128411,-5561.061443291606,292.9129963152918,1.89e+03
250000,500.0000000016593,-6990.768130917724,-5468.880774276477,291.46617767556126,1.89e+03
275000,550.000000000818,-7197.98110176679,-5643.671227468343,297.67561706075867,1.89e+03
300000,599.9999999996356,-7098.171852384484,-5495.770564562306,306.88590481143154,1.89e+03
325000,649.9999999984533,-7054.85437446923,-5459.042583222569,305.62390905905806,1.89e+03
350000,699.999999997271,-7085.822427734335,-5462.429044398053,310.9062324751029,1.88e+03
375000,749.9999999960886,-7078.72846288068,-5586.613864856664,285.76421023680615,1.88e+03
400000,799.9999999949063,-7206.7502394283165,-5663.706532103972,295.5179628752064,1.88e+03
425000,849.9999999937239,-7104.85627568293,-5629.740590587274,282.50864197529995,1.88e+03
450000,899.9999999925416,-7175.918828444447,-5723.162186055923,278.22652169491687,1.88e+03
475000,949.9999999913592,-7029.470350217554,-5500.159834632892,292.8878333283754,1.88e+03
500000,999.9999999901769,-7038.602883606782,-5422.417560502477,309.52577172345684,1.88e+03
525000,1049.9999999889947,-7144.904912865023,-5648.772596114541,286.5336687089253,1.88e+03
550000,1099.9999999878123,-7137.970185739364,-5657.234941897379,283.584878860289,1.88e+03
575000,1149.99999998663,-7011.445041850777,-5451.038160878841,298.8432929880404,1.88e+03
600000,1199.9999999854476,-7138.707021105263,-5512.70777153302,311.4052982357947,1.88e+03
625000,1249.9999999842653,-7140.190074281318,-5601.268186658257,294.7285673735234,1.88e+03
650000,1299.999999983083,-7030.091649769055,-5464.96892532707,299.74645370143577,1.88e+03
675000,1349.9999999819006,-7123.799687853912,-5513.744372758869,308.351775503708,1.88e+03
700000,1399.9999999807183,-7055.626216988029,-5425.442007164975,312.20678617950176,1.88e+03
725000,1449.999999979536,-7234.993295735121,-5659.097451385181,301.809681355907,1.88e+03
750000,1499.9999999783536,-7121.94650273436,-5593.977040502099,292.63099980322806,1.88e+03
775000,1549.9999999771712,-7065.336701347742,-5555.325405010698,289.1917189992306,1.88e+03
