#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7076.6711443944805,-5413.92844279737,318.44226681928365,0
50000,99.99999999994834,-6976.070523411689,-5471.551492971682,288.13986076491284,1.94e+03
75000,149.99999999998812,-6973.018446457472,-5316.1197427635425,317.3230461859357,1.93e+03
100000,200.00000000022686,-6950.3420018009465,-5448.801965766087,287.56933489202476,1.93e+03
125000,250.0000000004656,-7059.2973659183335,-5660.04337886643,267.979893139651,1.93e+03
150000,300.00000000070435,-6976.408401577324,-5449.830193491514,292.36455200965645,1.93e+03
175000,350.0000000009431,-7002.022117394258,-5466.972880179192,293.9868918434875,1.93e+03
200000,400.00000000118183,-6953.86272319381,-5214.929436363544,333.034002900055,1.93e+03
225000,450.0000000014206,-6939.36390379946,-5392.605371030516,296.22941235820815,1.93e+03
250000,500.0000000016593,-7122.061898034036,-5586.002238027698,294.18040423947593,1.93e+03
275000,550.000000000818,-6966.417249772953,-5425.1874265801,295.17057456670585,1.93e+03
300000,599.9999999996356,-7041.642925205853,-5415.291911150909,311.47266685461364,1.93e+03
325000,649.9999999984533,-7053.977619805316,-5483.488606489467,300.77418528718187,1.92e+03
350000,699.999999997271,-7138.358474759645,-5597.793119390032,295.0433181730029,1.92e+03
375000,749.9999999960886,-6954.116059908316,-5330.303896535728,310.9864356622417,1.92e+03
400000,799.9999999949063,-7183.376580760878,-5685.642726236556,286.8403892367666,1.91e+03
425000,849.9999999937239,-7025.773460991193,-5415.686762346075,308.3577859639058,1.91e+03
450000,899.9999999925416,-7082.782228031292,-5486.12995401351,305.78487517762915,1.91e+03
475000,949.9999999913592,-6956.468770406863,-5288.9287254395385,319.36103608890903,1.91e+03
500000,999.9999999901769,-6974.479262845931,-5414.860789437566,298.69230011856035,1.91e+03
525000,1049.9999999889947,-7112.72152942388,-5441.05603863533,320.1511260515288,1.9e+03
550000,1099.9999999878123,-7047.186182825393,-5477.967935178924,300.5308129963491,1.9e+03
575000,1149.99999998663,-7058.228376415736,-5387.410749269609,319.98874637607605,1.9e+03
600000,1199.9999999854476,-7186.003257194111,-5667.518036731791,290.8146132718777,1.9e+03
625000,1249.9999999842653,-6974.92567906081,-5354.659802783859,310.30726401383095,1.9e+03
650000,1299.999999983083,-7078.974720314845,-5494.896149660337,303.37680651043956,1.9e+03
675000,1349.9999999819006,-7019.614944339625,-5489.579606284666,293.02664861847495,1.9e+03
700000,1399.9999999807183,-7092.107517108495,-5457.638533278331,313.02739008070756,1.9e+03
725000,1449.999999979536,-6909.147359844989,-5262.131960757069,315.4302326319324,1.9e+03
750000,1499.9999999783536,-7013.710062499427,-5448.63400465972,299.737516288209,1.9e+03
775000,1549.9999999771712,-7076.650382678097,-5534.247379862505,295.39525754266606,1.9e+03
800000,1599.9999999759889,-7098.417205611823,-5480.098482380004,309.9343525411538,1.9e+03
825000,1649.9999999748065,-7069.293030826215,-5519.328411110643,296.8434301457607,1.9e+03
850000,1699.9999999736242,-7063.89481092594,-5506.717404605948,298.22479607458973,1.9e+03
875000,1749.9999999724419,-7091.040142030808,-5554.073703449245,294.3540670826328,1.9e+03
900000,1799.9999999712595,-7039.627177669321,-5538.788842533442,287.4349477588345,1.9e+03
925000,1849.9999999700772,-7077.422738771993,-5530.345670836041,296.290417022698,1.9e+03
950000,1899.9999999688948,-6986.740726399671,-5397.965584112886,304.2762763535037,1.9e+03
975000,1949.9999999677125,-7116.7200708540695,-5560.888804208816,297.9669884360014,1.9e+03
1000000,1999.9999999665301,-6978.142292432287,-5504.315784615897,282.2617435617648,1.9e+03
1025000,2049.999999965348,-7050.251016321432,-5472.646041094818,302.13700771261614,1.9e+03
1050000,2099.9999999641655,-6915.337243754676,-5330.504485866138,303.5212456303227,1.9e+03
1075000,2149.999999962983,-7114.981808789146,-5589.6618260324785,292.1235813979096,1.9e+03
1100000,2199.9999999618008,-7049.0448410629215,-5411.473961461558,313.6214535638124,1.9e+03
1125000,2249.9999999606184,-7046.943657433918,-5491.821482576165,297.831185827469,1.9e+03
1150000,2299.999999959436,-7046.396879040579,-5518.173708241648,292.6795891195452,1.9e+03
1175000,2349.9999999582537,-7057.79124218179,-5582.4992352520985,282.5424104738572,1.9e+03
1200000,2399.9999999570714,-7151.857212420424,-5699.580197037412,278.1346653236836,1.9e+03
1225000,2449.999999955889,-6921.644274736856,-5324.614309739809,305.85720914215585,1.9e+03
1250000,2499.9999999547067,-7102.292890508113,-5574.830068801033,292.5339699036852,1.9e+03
1275000,2549.9999999535244,-7028.987152938198,-5466.949162226931,299.15567702817185,1.9e+03
1300000,2599.999999952342,-7077.205703818191,-5479.904079050724,305.90923640591285,1.9e+03
1325000,2649.9999999511597,-7043.088461652089,-5440.592167863023,306.9040999990744,1.9e+03
