#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7127.559447533258,-5504.144714370706,310.9103213140237,0
50000,99.99999999994834,-7087.827476036168,-5391.727674211466,324.8306939648601,1.92e+03
75000,149.99999999998812,-7077.896764483763,-5496.733629185698,302.8184532289733,1.91e+03
100000,200.00000000022686,-7088.881911387535,-5394.899485062057,324.4251821240729,1.91e+03
125000,250.0000000004656,-6966.509058182063,-5276.749565031041,323.61642174797333,1.91e+03
150000,300.00000000070435,-7172.441825094818,-5646.442119868515,292.25375930446785,1.91e+03
175000,350.0000000009431,-7114.781386916483,-5604.734025059786,289.19862613274023,1.91e+03
200000,400.00000000118183,-7145.624848941601,-5599.516032916093,296.1049810361694,1.91e+03
225000,450.0000000014206,-7104.650549540388,-5632.473162814531,281.94591005497847,1.91e+03
250000,500.0000000016593,-7116.874652739174,-5464.374438212915,316.4806639822503,1.9e+03
275000,550.000000000818,-7135.015439503403,-5562.914542743387,301.08288717913194,1.9e+03
300000,599.9999999996356,-7048.040899093812,-5506.143891805161,295.29835117077545,1.9e+03
325000,649.9999999984533,-6973.457611926358,-5408.868382433836,299.6442807429376,1.9e+03
350000,699.999999997271,-7099.165212202781,-5515.247804250426,303.34594123215504,1.9e+03
375000,749.9999999960886,-7230.95773995825,-5587.323090951719,314.78276401370726,1.89e+03
400000,799.9999999949063,-7207.04154109753,-5555.996689853148,316.20193824670423,1.89e+03
425000,849.9999999937239,-7148.313296795301,-5632.563757188349,290.29068590052856,1.89e+03
450000,899.9999999925416,-7092.050731272024,-5594.344480182885,286.83510273004305,1.89e+03
475000,949.9999999913592,-7038.307211735575,-5543.0266591724885,286.3705420156798,1.89e+03
500000,999.9999999901769,-6985.0530715092955,-5457.053591982411,292.63674860328865,1.89e+03
525000,1049.9999999889947,-7079.460429868136,-5522.493196945931,298.18454445108114,1.89e+03
550000,1099.9999999878123,-7029.53880720767,-5471.5245599989175,298.3850647134646,1.89e+03
575000,1149.99999998663,-7135.7275106068,-5575.76727717466,298.75775272080296,1.89e+03
600000,1199.9999999854476,-7141.40031359987,-5640.980208792069,287.3548498497606,1.89e+03
625000,1249.9999999842653,-7113.986868144991,-5627.392865404955,284.7069264641972,1.89e+03
650000,1299.999999983083,-7071.651089332881,-5369.286998557193,326.0304071686209,1.88e+03
675000,1349.9999999819006,-7099.167659237773,-5474.605091346653,311.13015033059224,1.88e+03
700000,1399.9999999807183,-7084.658166784984,-5602.780584919293,283.8036551684897,1.88e+03
725000,1449.999999979536,-7157.492250282632,-5616.4186295927575,295.1406592472257,1.89e+03
750000,1499.9999999783536,-7097.16476757399,-5593.846556044098,287.9098844159507,1.89e+03
775000,1549.9999999771712,-7037.050535014428,-5575.127870043014,279.98196407707746,1.89e+03
800000,1599.9999999759889,-7117.313238759686,-5447.811249762921,319.73678027561186,1.89e+03
825000,1649.9999999748065,-7158.174042499807,-5607.404942712305,296.99750116196225,1.89e+03
850000,1699.9999999736242,-7204.9421986418065,-5713.024136144497,285.72657048738796,1.89e+03
875000,1749.9999999724419,-7151.849794428017,-5650.4217273043205,287.54789102470255,1.89e+03
900000,1799.9999999712595,-7135.74155484654,-5542.404201409185,305.1500139793553,1.89e+03
925000,1849.9999999700772,-7038.646108087633,-5529.4780342218555,289.030228183529,1.89e+03
950000,1899.9999999688948,-7111.661340404808,-5440.728707359103,320.0107718760669,1.89e+03
975000,1949.9999999677125,-7047.0778699280345,-5487.778479641511,298.6311905118095,1.89e+03
1000000,1999.9999999665301,-7024.309951390531,-5418.712597943242,307.49800335294736,1.89e+03
1025000,2049.999999965348,-7125.865118997175,-5436.08741927442,323.61990860253474,1.89e+03
1050000,2099.9999999641655,-7108.826337218164,-5552.465665859525,298.0683780477753,1.89e+03
1075000,2149.999999962983,-7100.976566104817,-5557.622146798214,295.57746927259626,1.89e+03
1100000,2199.9999999618008,-7109.040771124624,-5586.3322562574685,291.62344282946896,1.89e+03
1125000,2249.9999999606184,-7081.787468528538,-5396.4371474142545,322.77199360113707,1.89e+03
1150000,2299.999999959436,-7224.002841629864,-5652.155994307172,301.03423258054136,1.89e+03
1175000,2349.9999999582537,-7113.080091645214,-5551.083303339865,299.1477860974064,1.89e+03
1200000,2399.9999999570714,-7144.774790921138,-5586.891111405512,298.36005887694387,1.89e+03
1225000,2449.999999955889,-7120.220062190504,-5431.436691662737,323.4294783919482,1.89e+03
1250000,2499.9999999547067,-7066.303486729375,-5458.965085681338,307.8314422813457,1.89e+03
1275000,2549.9999999535244,-7109.87835090762,-5553.4964840430985,298.0724373318326,1.89e+03
1300000,2599.999999952342,-7230.338593453487,-5672.840599361571,298.2861938463004,1.89e+03
1325000,2649.9999999511597,-7291.951465886834,-5668.134077507982,310.98743633591016,1.89e+03
1350000,2699.9999999499773,-7054.081100947953,-5446.3000111300435,307.91622437976537,1.89e+03
1375000,2749.999999948795,-7131.917910216613,-5663.757184574623,281.1766541386163,1.9e+03
1400000,2799.9999999476127,-7129.719341017444,-5610.375823269352,290.97899115970336,1.9e+03
1425000,2849.9999999464303,-7191.590697671008,-5479.1359534606945,327.96293139520355,1.9e+03
1450000,2899.999999945248,-7155.183525203738,-5539.923262045289,309.34860770053285,1.9e+03
1475000,2949.9999999440656,-7064.843186147001,-5450.481258427005,309.1765618553699,1.9e+03
1500000,2999.9999999428833,-7297.077295099756,-5677.862206628608,310.1060210611454,1.9e+03
1525000,3049.999999941701,-7088.259574125984,-5540.918961677856,296.34089008253125,1.9e+03
1550000,3099.9999999405186,-7149.610486131884,-5632.572859361834,290.53737553908996,1.9e+03
1575000,3149.9999999393362,-7186.307446628755,-5613.92156185066,301.1374670190594,1.9e+03
