#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7090.633267228172,-5593.610541248439,286.7045363153886,0
50000,99.99999999994834,-7001.4533973789075,-5504.2428644252395,286.7405044476316,1.85e+03
75000,149.99999999998812,-6918.584286822296,-5287.894540824414,312.3039746738694,1.85e+03
100000,200.00000000022686,-6953.555806707455,-5354.294519854881,306.28490652614596,1.85e+03
125000,250.0000000004656,-7096.796707563315,-5567.96702851691,292.79609229000965,1.84e+03
150000,300.00000000070435,-6924.436263799757,-5361.348989025588,299.3569867426848,1.85e+03
175000,350.0000000009431,-7110.264995459085,-5563.5339431315115,296.224500447693,1.85e+03
200000,400.00000000118183,-7016.628991434933,-5397.226287408967,310.1423200250979,1.84e+03
225000,450.0000000014206,-6992.586614329553,-5369.678580690617,310.81364844508687,1.84e+03
250000,500.0000000016593,-7103.517615748876,-5541.719468029172,299.11009765543963,1.85e+03
275000,550.000000000818,-7039.943760207118,-5430.604971414719,308.21491431476136,1.84e+03
300000,599.9999999996356,-7017.411728882771,-5317.397763655017,325.5807057380016,1.84e+03
325000,649.9999999984533,-7012.030903674538,-5360.8689068204085,316.224748278179,1.84e+03
350000,699.999999997271,-7034.53517285544,-5453.789061574943,302.73894510881604,1.84e+03
375000,749.9999999960886,-7115.2787942856785,-5565.953608716758,296.72131973787054,1.84e+03
400000,799.9999999949063,-7074.404441842087,-5436.819685866523,313.6244827758742,1.84e+03
425000,849.9999999937239,-6872.510270562962,-5297.652310185344,301.6112671216567,1.84e+03
450000,899.9999999925416,-7121.409202546038,-5400.493916199157,329.5836533725583,1.84e+03
475000,949.9999999913592,-6941.332241759004,-5371.145619053911,300.71662893204757,1.84e+03
500000,999.9999999901769,-7058.219559104744,-5517.851700635025,295.0058439017096,1.84e+03
525000,1049.9999999889947,-7073.522864859517,-5446.727397150503,311.558156169102,1.84e+03
550000,1099.9999999878123,-7018.5239977613155,-5484.751078552419,293.74280428982604,1.84e+03
575000,1149.99999998663,-7118.550691077606,-5612.218388857828,288.48747367022924,1.84e+03
600000,1199.9999999854476,-7051.85290678606,-5546.949045427299,288.2139036918953,1.84e+03
625000,1249.9999999842653,-7010.033198169735,-5391.156851704289,310.0415138731901,1.84e+03
650000,1299.999999983083,-7055.135473109542,-5508.878272838932,296.13374996547486,1.84e+03
675000,1349.9999999819006,-7102.332115952461,-5593.052123216609,289.0520050082952,1.84e+03
700000,1399.9999999807183,-7059.861348227529,-5464.225637423785,305.59054893095606,1.84e+03
725000,1449.999999979536,-7004.014556803111,-5503.7496524449325,287.32546693488587,1.84e+03
750000,1499.9999999783536,-7089.081011573253,-5596.645350993897,285.8260376554548,1.84e+03
775000,1549.9999999771712,-7094.059937722515,-5458.755092437079,313.18784228544627,1.84e+03
800000,1599.9999999759889,-7039.442919642545,-5405.409580789739,312.94432783782764,1.84e+03
825000,1649.9999999748065,-7153.668460849522,-5640.144472800284,289.8648000897142,1.84e+03
850000,1699.9999999736242,-7158.328071267723,-5618.193614950035,294.9611435410459,1.84e+03
875000,1749.9999999724419,-7097.478109254947,-5569.953557607767,292.546138872915,1.84e+03
900000,1799.9999999712595,-7089.1169936351935,-5504.865132552662,303.41035400193914,1.84e+03
925000,1849.9999999700772,-7164.270900807475,-5573.083497143392,304.73862476592353,1.84e+03
950000,1899.9999999688948,-7000.255686302067,-5583.250185283392,271.3799183376019,1.84e+03
975000,1949.9999999677125,-7127.6987855914085,-5558.329986210924,300.5600022803603,1.84e+03
1000000,1999.9999999665301,-7062.389247608329,-5457.151548943757,307.42948793272916,1.84e+03
1025000,2049.999999965348,-6971.979655502248,-5367.222809001216,307.3373968146776,1.84e+03
1050000,2099.9999999641655,-7060.163960543956,-5453.169698516834,307.76589878049293,1.84e+03
1075000,2149.999999962983,-6914.525809560695,-5347.451480385011,300.120573402802,1.84e+03
1100000,2199.9999999618008,-6944.799066906078,-5345.869433495392,306.221389423417,1.84e+03
1125000,2249.9999999606184,-7069.980791166019,-5374.670655206508,324.6798448720614,1.84e+03
1150000,2299.999999959436,-7126.545074659464,-5571.982727610308,297.72432251648024,1.84e+03
1175000,2349.9999999582537,-7199.709883270467,-5754.038148542266,276.86997476825456,1.84e+03
1200000,2399.9999999570714,-7059.272363317691,-5440.579336244551,310.00640518682434,1.84e+03
1225000,2449.999999955889,-7141.695897658569,-5527.6959328666,309.1076063764445,1.84e+03
1250000,2499.9999999547067,-7057.860429029673,-5534.027067962177,291.83921501315353,1.84e+03
1275000,2549.9999999535244,-7030.765164457305,-5487.265882091226,295.60556321166564,1.84e+03
1300000,2599.999999952342,-6924.371645085427,-5359.558727644851,299.68747576728816,1.84e+03
1325000,2649.9999999511597,-7007.080922351415,-5412.656703834584,305.35852818181115,1.84e+03
1350000,2699.9999999499773,-6942.334864780565,-5397.481384479107,295.864914445554,1.84e+03
1375000,2749.999999948795,-7055.618435809183,-5521.288004807108,293.849576990988,1.84e+03
1400000,2799.9999999476127,-7055.433197885909,-5524.257069869964,293.24547595808974,1.84e+03
1425000,2849.9999999464303,-7092.052324952143,-5477.611150968553,309.19210521170345,1.84e+03
1450000,2899.999999945248,-7148.4175961659275,-5674.515306979989,282.2765914383087,1.84e+03
1475000,2949.9999999440656,-7026.061236111875,-5436.529633358479,304.4215115891556,1.84e+03
