#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-6795.602390350527,-5169.31874529565,311.4597645955482,0
50000,99.99999999994834,-7092.352811071303,-5536.39837628623,297.9905771377327,1.91e+03
75000,149.99999999998812,-7022.783427620028,-5523.306443881147,287.1742268280608,1.91e+03
100000,200.00000000022686,-6960.528898107645,-5416.891179292443,295.6317257354996,1.91e+03
125000,250.0000000004656,-7110.037614727075,-5521.782839524058,304.176617594771,1.9e+03
150000,300.00000000070435,-7134.5117076827,-5582.509394052291,297.2336816673591,1.9e+03
175000,350.0000000009431,-7139.731465522265,-5576.748136022883,299.33672477916195,1.9e+03
200000,400.00000000118183,-7157.342450690042,-5696.485795525536,279.7778058636406,1.9e+03
225000,450.0000000014206,-6979.71404179628,-5460.806010137762,290.8955884916903,1.9e+03
250000,500.0000000016593,-7083.485588720515,-5555.880081427092,292.56129651381815,1.9e+03
275000,550.000000000818,-7180.590825990887,-5577.478998405685,307.0219847308235,1.9e+03
300000,599.9999999996356,-7121.571610017252,-5545.689374852434,301.80707497564396,1.9e+03
325000,649.9999999984533,-7108.904648791059,-5578.985974115833,293.0043056840801,1.9e+03
350000,699.999999997271,-7143.26159234347,-5545.451064419372,306.0066996361729,1.9e+03
375000,749.9999999960886,-7096.77111968323,-5383.176065140172,328.18131936761074,1.9e+03
400000,799.9999999949063,-7188.240524482977,-5639.07810843275,296.6897950984394,1.9e+03
425000,849.9999999937239,-7241.58400732897,-5730.706838498014,289.3575476626029,1.89e+03
450000,899.9999999925416,-7191.735059275602,-5701.074278478208,285.48578059598333,1.89e+03
475000,949.9999999913592,-7124.818194644142,-5525.156345240922,306.36125780554977,1.89e+03
500000,999.9999999901769,-7099.743621572204,-5514.934162218963,303.5167835819331,1.89e+03
525000,1049.9999999889947,-7099.030552869365,-5470.130188586771,311.9609088806524,1.89e+03
550000,1099.9999999878123,-7047.330166007385,-5534.794709152852,289.6751367861394,1.89e+03
575000,1149.99999998663,-7095.789898546569,-5508.047255211586,304.0785360137719,1.89e+03
600000,1199.9999999854476,-7058.90113867273,-5557.203391854747,287.5995390716801,1.9e+03
625000,1249.9999999842653,-7006.456521035839,-5464.298414205086,295.3483559790793,1.9e+03
650000,1299.999999983083,-7106.661556461011,-5494.725281021205,308.71200999784134,1.9e+03
675000,1349.9999999819006,-7094.759815920157,-5585.961412407534,288.95943029933346,1.9e+03
700000,1399.9999999807183,-7062.793772009917,-5558.573193819122,288.08270230576875,1.9e+03
725000,1449.999999979536,-7048.699262017341,-5361.712310000534,323.08543503380474,1.9e+03
750000,1499.9999999783536,-7108.415278146396,-5471.821920702527,313.4342421742214,1.9e+03
775000,1549.9999999771712,-7047.847216014927,-5509.539158288839,294.6110089661729,1.89e+03
800000,1599.9999999759889,-7143.990576455338,-5552.402244161089,304.81504798793003,1.89e+03
825000,1649.9999999748065,-7040.25711540485,-5515.324545595027,292.04938551849307,1.89e+03
850000,1699.9999999736242,-7007.394412040548,-5442.791579327054,299.64688598096876,1.89e+03
875000,1749.9999999724419,-7026.359640674066,-5431.677338376019,305.4075935576889,1.89e+03
900000,1799.9999999712595,-7013.632865994301,-5432.041540843252,302.9004585490282,1.89e+03
925000,1849.9999999700772,-7132.838724913505,-5639.222134933676,286.05186612168484,1.89e+03
950000,1899.9999999688948,-7069.723248030135,-5321.346106604127,334.84265463077145,1.89e+03
975000,1949.9999999677125,-7106.87133293405,-5475.975054018508,312.3431589903557,1.89e+03
1000000,1999.9999999665301,-7035.39252104568,-5380.453873135251,316.9476636290368,1.9e+03
1025000,2049.999999965348,-7128.175364821538,-5560.019557277664,300.3273384393386,1.89e+03
1050000,2099.9999999641655,-7130.689374897499,-5538.274999550155,304.9732486656808,1.89e+03
1075000,2149.999999962983,-6996.108707005906,-5335.843709366032,317.96774621913795,1.9e+03
1100000,2199.9999999618008,-7204.2734698501245,-5552.5302038083555,316.3356960380007,1.9e+03
1125000,2249.9999999606184,-7141.988092484528,-5521.954535250995,310.2627711390524,1.9e+03
1150000,2299.999999959436,-7132.049717084221,-5556.927507831692,301.66151765392584,1.9e+03
1175000,2349.9999999582537,-7089.46659552323,-5548.200434567446,295.17753383923053,1.89e+03
1200000,2399.9999999570714,-7065.4870566940135,-5565.533111886198,287.26557262908597,1.89e+03
1225000,2449.999999955889,-7156.0865255962435,-5514.919319094105,314.3102086486527,1.9e+03
1250000,2499.9999999547067,-6984.387770504401,-5425.982317374368,298.4599870091666,1.9e+03
1275000,2549.9999999535244,-7054.961011012477,-5482.159144305677,301.21713432308985,1.9e+03
1300000,2599.999999952342,-7122.694768883977,-5511.7860944677295,308.51520769101813,1.9e+03
1325000,2649.9999999511597,-7038.482769970092,-5511.9364314320055,292.35844847300604,1.9e+03
1350000,2699.9999999499773,-7113.683531006407,-5622.05858619186,285.67043368446963,1.9e+03
1375000,2749.999999948795,-7084.794779921278,-5564.476632385284,291.1656486134819,1.9e+03
1400000,2799.9999999476127,-7133.55607135533,-5560.494461708125,301.2668793201079,1.9e+03
