#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7012.4048649692295,-5408.945772273392,307.088491646723,0
50000,99.99999999994834,-6852.046762219288,-5344.181888170519,288.780644225982,1.91e+03
75000,149.99999999998812,-7035.4669796308235,-5418.89028137238,309.6007264300035,1.91e+03
100000,200.00000000022686,-7056.196776514986,-5359.774122117808,324.8925254827065,1.92e+03
125000,250.0000000004656,-6990.982884381906,-5288.766978184771,326.00202741205555,1.92e+03
150000,300.00000000070435,-6995.2975806016375,-5458.0916665070745,294.3999305377147,1.92e+03
175000,350.0000000009431,-6984.142402963473,-5551.613126987626,274.3526520901665,1.92e+03
200000,400.00000000118183,-6878.031243005915,-5338.98625058902,294.7521439434684,1.92e+03
225000,450.0000000014206,-7000.181890397214,-5431.057164409074,300.5129020779332,1.91e+03
250000,500.0000000016593,-7029.685118116843,-5468.1194834558955,299.065213163098,1.91e+03
275000,550.000000000818,-6979.225183870703,-5403.596755850653,301.7584667800181,1.91e+03
300000,599.9999999996356,-7043.978688558722,-5531.819280671974,289.6031172935134,1.91e+03
325000,649.9999999984533,-6992.1046783571155,-5298.286687496209,324.3936900585634,1.91e+03
350000,699.999999997271,-6950.130664653199,-5426.8241326194675,291.73797284180245,1.91e+03
375000,749.9999999960886,-7051.013438839469,-5512.442899358913,294.66127849062264,1.91e+03
400000,799.9999999949063,-6970.938601251224,-5448.265347845399,291.6166896862035,1.91e+03
425000,849.9999999937239,-6893.7564831055115,-5316.027208671816,302.16081303212167,1.9e+03
450000,899.9999999925416,-7060.937030577544,-5586.932238745559,282.2958878499997,1.91e+03
475000,949.9999999913592,-7093.9847661134745,-5551.458234267463,295.41891536081624,1.91e+03
500000,999.9999999901769,-7114.017489207783,-5575.261807479852,294.6967362417715,1.91e+03
525000,1049.9999999889947,-6937.2772642329355,-5380.208351179262,298.20401784977616,1.91e+03
550000,1099.9999999878123,-6982.005844508109,-5421.285492289925,298.90332782935525,1.91e+03
575000,1149.99999998663,-6974.206514059893,-5504.203142264684,281.52955084200505,1.91e+03
600000,1199.9999999854476,-7031.678235224087,-5322.611105761529,327.3141480817364,1.91e+03
625000,1249.9999999842653,-7154.948720193741,-5372.791938802414,341.3120050074492,1.91e+03
650000,1299.999999983083,-7107.179174121844,-5546.381971239343,298.9180459813149,1.91e+03
675000,1349.9999999819006,-7112.550346296597,-5571.328757784953,295.16899749134217,1.91e+03
700000,1399.9999999807183,-6881.909753647433,-5239.658363417635,314.5178474634571,1.91e+03
725000,1449.999999979536,-7107.926988608796,-5558.490629395678,296.7422596689871,1.91e+03
