#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-6944.450608062789,-5333.388532761193,308.54495209640845,0
50000,99.99999999994834,-7115.974791969351,-5551.117327758617,299.6960072083015,1.85e+03
75000,149.99999999998812,-7030.364886315128,-5374.74483681425,317.0785388685115,1.86e+03
100000,200.00000000022686,-7040.54925047068,-5533.851429700173,288.5574764997007,1.86e+03
125000,250.0000000004656,-7067.607058560133,-5317.719403382016,335.13233972685634,1.87e+03
150000,300.00000000070435,-7064.97006645916,-5550.94057789712,289.9616117730742,1.87e+03
175000,350.0000000009431,-7057.258646426697,-5430.174947242795,311.61335724916944,1.87e+03
200000,400.00000000118183,-7179.1234534003725,-5580.492271550323,306.1642310284107,1.87e+03
225000,450.0000000014206,-7186.335988142098,-5697.295228678478,285.1758581135334,1.86e+03
250000,500.0000000016593,-6932.323467991138,-5443.1855822648595,285.19445939433984,1.86e+03
275000,550.000000000818,-7158.016183546869,-5554.313482850206,307.13551051141354,1.87e+03
300000,599.9999999996356,-7140.195623171885,-5561.441024876893,302.35753753419067,1.86e+03
325000,649.9999999984533,-7123.346916895653,-5510.835014571844,308.8226178772463,1.86e+03
350000,699.999999997271,-7116.969740520064,-5499.2151855070915,309.82667231291015,1.86e+03
375000,749.9999999960886,-6982.407338638253,-5539.624225041425,276.3167561913494,1.86e+03
400000,799.9999999949063,-6995.181288464344,-5373.406791081949,310.5965575611687,1.86e+03
425000,849.9999999937239,-7085.851144645206,-5572.824184483034,289.76961105388733,1.86e+03
450000,899.9999999925416,-7082.1251340004355,-5562.515115971546,291.03037518288846,1.85e+03
475000,949.9999999913592,-7081.315632908317,-5706.5380942725915,263.2925672477085,1.85e+03
500000,999.9999999901769,-7020.81451378349,-5419.625423967358,306.6541125810591,1.85e+03
525000,1049.9999999889947,-7084.319138207269,-5663.928494660324,272.0282289491151,1.85e+03
550000,1099.9999999878123,-6959.578435777594,-5424.058525345671,294.07738191503677,1.85e+03
575000,1149.99999998663,-6993.090904742428,-5471.51545435626,291.4067878871672,1.85e+03
600000,1199.9999999854476,-6946.298878901102,-5435.664150509652,289.3114592244723,1.85e+03
625000,1249.9999999842653,-7055.3494179397,-5560.667881096628,286.2561599920341,1.85e+03
650000,1299.999999983083,-7034.689394685183,-5498.834237897164,294.14158712008026,1.85e+03
675000,1349.9999999819006,-7125.900931388199,-5483.99334700606,314.4523756945116,1.85e+03
700000,1399.9999999807183,-7060.533030377403,-5470.929249431267,304.4353349032061,1.85e+03
