#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7109.517928561881,-5558.575506395015,297.03069521617266,0
50000,99.99999999994834,-7046.376534560746,-5580.094612389563,280.81683272092096,1.87e+03
75000,149.99999999998812,-7141.034491448766,-5626.032068177091,290.14760097274353,1.88e+03
100000,200.00000000022686,-7133.5993427463945,-5524.626548892032,308.1444550821954,1.87e+03
125000,250.0000000004656,-7095.436679682492,-5619.379154264588,282.6890197131847,1.87e+03
150000,300.00000000070435,-7084.970122888535,-5488.88072577547,305.67707509689154,1.87e+03
175000,350.0000000009431,-7220.202059947484,-5653.474358321266,300.0538329322991,1.87e+03
200000,400.00000000118183,-7094.93136640593,-5527.241083724402,300.2381828578501,1.88e+03
225000,450.0000000014206,-7138.373608243434,-5552.996414277778,303.62551399269114,1.89e+03
250000,500.0000000016593,-7131.215285600449,-5712.062617380738,271.7908141749408,1.89e+03
275000,550.000000000818,-7183.896137123496,-5620.175001243941,299.47802669914654,1.89e+03
300000,599.9999999996356,-6953.883732622098,-5373.93892091011,302.5851244499042,1.89e+03
325000,649.9999999984533,-7051.578097622961,-5547.785334689368,288.0007687268978,1.89e+03
350000,699.999999997271,-6978.605024333731,-5489.153253325791,285.25423556042807,1.88e+03
375000,749.9999999960886,-7018.9544416086355,-5485.778700393112,293.62808689284896,1.88e+03
400000,799.9999999949063,-6966.886431032745,-5382.022684531256,303.52718045363844,1.88e+03
425000,849.9999999937239,-7037.890781050362,-5498.501670315467,294.8180481974056,1.88e+03
450000,899.9999999925416,-7037.338365570396,-5464.485189424212,301.22696091512404,1.88e+03
475000,949.9999999913592,-7058.6940658395215,-5361.247383006397,325.08864358090466,1.88e+03
500000,999.9999999901769,-7117.410272883972,-5558.289456815721,298.5969906450425,1.88e+03
525000,1049.9999999889947,-7046.576068766872,-5415.67718385003,312.3436580819832,1.87e+03
550000,1099.9999999878123,-7039.746944618857,-5534.663216669389,288.2480095210657,1.88e+03
575000,1149.99999998663,-7198.573495461041,-5662.311513895357,294.2191521082367,1.88e+03
600000,1199.9999999854476,-7097.634561852291,-5730.044030720809,261.9158264208819,1.87e+03
625000,1249.9999999842653,-7059.958877774623,-5461.777800497435,306.0776658631504,1.87e+03
650000,1299.999999983083,-7121.691976218365,-5589.378469907342,293.46295488700326,1.87e+03
675000,1349.9999999819006,-7097.98391505005,-5457.5472538445565,314.17029734424324,1.87e+03
700000,1399.9999999807183,-7161.737868620083,-5463.250145076683,325.2880198062899,1.87e+03
725000,1449.999999979536,-7070.803043201535,-5527.705052096221,295.52835910202293,1.87e+03
750000,1499.9999999783536,-7115.330347676953,-5651.223361845639,280.4002970430976,1.87e+03
775000,1549.9999999771712,-7068.815493553915,-5552.267094239691,290.4436805254997,1.87e+03
800000,1599.9999999759889,-7057.70268779284,-5474.281564402242,303.25089466801643,1.88e+03
825000,1649.9999999748065,-7111.430171677971,-5627.061302357788,284.28077722925383,1.88e+03
850000,1699.9999999736242,-6853.472278605953,-5258.967517306706,305.37359156925334,1.88e+03
875000,1749.9999999724419,-7054.791521646976,-5418.973722971403,313.2857100579831,1.88e+03
900000,1799.9999999712595,-7183.576075151481,-5602.2299506217805,302.85349864259604,1.88e+03
925000,1849.9999999700772,-7149.180049461982,-5447.158923352688,325.96472385772694,1.88e+03
950000,1899.9999999688948,-7110.321624729084,-5520.032056581846,304.5663135333206,1.88e+03
975000,1949.9999999677125,-7217.274823243721,-5686.221897327399,293.22153324190367,1.88e+03
1000000,1999.9999999665301,-7142.401693658445,-5521.534419397059,310.42244150776315,1.88e+03
1025000,2049.999999965348,-7073.534600914819,-5571.999028359474,287.5684800631127,1.88e+03
1050000,2099.9999999641655,-7060.551554175225,-5492.957653138278,300.21972420555795,1.88e+03
1075000,2149.999999962983,-7099.391253106707,-5473.305220646335,311.4219185701315,1.89e+03
1100000,2199.9999999618008,-7157.896280011315,-5551.985025017987,307.55812060366986,1.89e+03
1125000,2249.9999999606184,-7078.919845017283,-5517.028569003404,299.1275787777525,1.89e+03
1150000,2299.999999959436,-7010.314745549196,-5443.393512011604,300.09089744053637,1.89e+03
1175000,2349.9999999582537,-6976.001028614928,-5401.383289555384,301.5649034082927,1.89e+03
1200000,2399.9999999570714,-7061.675349930406,-5477.858135070348,303.3267526256436,1.89e+03
1225000,2449.999999955889,-6986.403981581398,-5394.126246085322,304.94707991213056,1.89e+03
1250000,2499.9999999547067,-7090.596495808139,-5366.880054742772,330.11972948026516,1.89e+03
1275000,2549.9999999535244,-7175.185515724443,-5509.592182770811,318.9882090809245,1.89e+03
1300000,2599.999999952342,-7107.409468114573,-5501.6455863230985,307.52989623893717,1.89e+03
1325000,2649.9999999511597,-7123.595354515764,-5595.844675994254,292.5890991647659,1.89e+03
1350000,2699.9999999499773,-7117.92743915037,-5579.399525965738,294.6531148617659,1.89e+03
1375000,2749.999999948795,-6998.976849115686,-5447.280357329944,297.1751118108411,1.89e+03
1400000,2799.9999999476127,-7012.8089371121,-5525.524202720137,284.8392128081952,1.89e+03
1425000,2849.9999999464303,-7077.388268887071,-5528.321127546353,296.6715484422145,1.89e+03
