#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-6908.650549947991,-5271.833896980255,313.4770068982657,0
50000,99.99999999994834,-7000.905678746722,-5446.340680604874,297.72447742558506,1.96e+03
75000,149.99999999998812,-7044.871675118033,-5321.478717659782,330.05777710902333,1.98e+03
100000,200.00000000022686,-6957.136051231342,-5372.968550173107,303.39383812893635,1.98e+03
125000,250.0000000004656,-7085.025943652855,-5539.537870773331,295.98609862921023,1.99e+03
150000,300.00000000070435,-7009.799241182608,-5395.468805968147,309.17053052843005,1.98e+03
175000,350.0000000009431,-6975.445232281096,-5410.807750628697,299.6535218162289,1.98e+03
200000,400.00000000118183,-7048.753282780461,-5417.059732998726,312.4958493264224,1.98e+03
225000,450.0000000014206,-7102.49911150311,-5639.900102216605,280.111495012105,1.98e+03
250000,500.0000000016593,-6908.826953942321,-5343.494701214867,299.78658177544474,1.98e+03
275000,550.000000000818,-7007.597614565566,-5455.094282400484,297.32963486429463,1.98e+03
300000,599.9999999996356,-6919.499505622335,-5302.093270932649,309.7595961464786,1.98e+03
325000,649.9999999984533,-7109.71931796828,-5553.1923987835125,298.1002172099954,1.98e+03
350000,699.999999997271,-6934.908152489157,-5342.898903106014,304.8956604553924,1.98e+03
375000,749.9999999960886,-7063.583518075316,-5468.920270096733,305.40394434565104,1.98e+03
400000,799.9999999949063,-7145.957780692607,-5558.720434076513,303.9817634749872,1.98e+03
425000,849.9999999937239,-7037.846476643714,-5432.00333900754,307.54507502205274,1.99e+03
450000,899.9999999925416,-7102.134092162555,-5427.165907810889,320.7836455771523,1.99e+03
475000,949.9999999913592,-6965.569957451197,-5458.548154421782,288.6191824157846,1.99e+03
500000,999.9999999901769,-6948.010079988588,-5345.141777768826,306.97534566314073,1.99e+03
525000,1049.9999999889947,-7167.38438249298,-5630.821999885971,294.2766837927617,1.99e+03
550000,1099.9999999878123,-7155.168867089654,-5602.60193954526,297.34181441361875,1.99e+03
575000,1149.99999998663,-7042.501998937432,-5501.496749347474,295.12756506974335,1.99e+03
600000,1199.9999999854476,-7143.786997658422,-5573.191401555765,300.7945976241013,1.99e+03
625000,1249.9999999842653,-6935.476551291661,-5408.792731179322,292.3847784301959,1.99e+03
650000,1299.999999983083,-7027.833515389934,-5480.981760539129,296.24726590285894,1.99e+03
675000,1349.9999999819006,-7034.536480013758,-5575.272424946388,279.4727970462322,1.99e+03
700000,1399.9999999807183,-7174.097018689539,-5578.238727542604,305.6328145461406,1.99e+03
725000,1449.999999979536,-7098.814767308294,-5520.946101976624,302.1875086558537,1.99e+03
750000,1499.9999999783536,-7137.613006866066,-5550.085121248197,304.0374064185621,1.99e+03
775000,1549.9999999771712,-7049.690841617687,-5491.309969750735,298.4552792975471,1.99e+03
800000,1599.9999999759889,-6955.0941713812335,-5301.265340772434,316.73511556796495,1.99e+03
825000,1649.9999999748065,-7109.372209037925,-5474.455004799232,313.11323157788564,1.99e+03
850000,1699.9999999736242,-6984.563117808471,-5464.165430373898,291.180881797535,1.99e+03
875000,1749.9999999724419,-7030.090702410295,-5451.6914679910715,302.2891212642161,1.99e+03
900000,1799.9999999712595,-7120.838221757883,-5466.783147223039,316.7784449589732,1.99e+03
925000,1849.9999999700772,-7025.974015963979,-5415.539779389572,308.42434512901394,1.99e+03
950000,1899.9999999688948,-7078.841907879971,-5419.478321263168,317.7951113495054,1.99e+03
975000,1949.9999999677125,-6920.927648183064,-5382.475930326631,294.63852221732986,1.99e+03
1000000,1999.9999999665301,-7071.056385411345,-5586.368966490423,284.34178465803774,1.98e+03
1025000,2049.999999965348,-7089.423171210671,-5399.167230450802,323.71149953828115,1.98e+03
1050000,2099.9999999641655,-7119.498467005437,-5433.729449139677,322.8521808378768,1.98e+03
1075000,2149.999999962983,-7110.475634368962,-5503.429819663172,307.77540723877655,1.98e+03
1100000,2199.9999999618008,-6998.131598665943,-5327.115621479556,320.0267336343472,1.98e+03
1125000,2249.9999999606184,-7156.570462022933,-5586.362010762385,300.7204530911015,1.98e+03
1150000,2299.999999959436,-7069.230944223338,-5477.9076043795685,304.76429762436527,1.98e+03
1175000,2349.9999999582537,-7121.117593842243,-5462.093429837773,317.73010639956505,1.98e+03
1200000,2399.9999999570714,-7102.70125081361,-5524.22221136344,302.30440522542904,1.98e+03
1225000,2449.999999955889,-7013.394766068985,-5446.974853735896,299.99488627740595,1.98e+03
1250000,2499.9999999547067,-7118.273752030563,-5546.21941285519,301.073970644555,1.98e+03
1275000,2549.9999999535244,-6951.059110739324,-5444.716841785317,288.4890405897846,1.98e+03
1300000,2599.999999952342,-7002.380520629733,-5470.668947378895,293.3476749173636,1.98e+03
1325000,2649.9999999511597,-6941.338412422794,-5391.3854884740895,296.8411902162096,1.98e+03
1350000,2699.9999999499773,-7081.875215258006,-5499.204452572018,303.10718839074417,1.98e+03
1375000,2749.999999948795,-7033.457064537917,-5430.553747521605,306.9820515660895,1.98e+03
1400000,2799.9999999476127,-7062.438522291057,-5554.762468226175,288.7444821284838,1.98e+03
1425000,2849.9999999464303,-6992.12731977363,-5388.336242459716,307.152072099807,1.98e+03
1450000,2899.999999945248,-7125.801152148205,-5564.007797487904,299.10882524614874,1.97e+03
1475000,2949.9999999440656,-7112.577075943564,-5581.529685209413,293.22047316450505,1.97e+03
1500000,2999.9999999428833,-7153.961228350177,-5516.472443705804,313.6057310445235,1.97e+03
1525000,3049.999999941701,-7050.84385371972,-5486.912453731592,299.5182956952457,1.97e+03
1550000,3099.9999999405186,-7099.264222083604,-5451.065923747519,315.65677707422196,1.97e+03
1575000,3149.9999999393362,-6997.164288012904,-5491.881834642814,288.2860686707805,1.97e+03
1600000,3199.999999938154,-7098.073238415493,-5479.211039623548,310.0384369488983,1.97e+03
1625000,3249.9999999369716,-7050.356197821715,-5513.054018443652,294.4183669049676,1.98e+03
1650000,3299.999999935789,-7141.006273490628,-5625.678923162372,290.20982978803113,1.98e+03
1675000,3349.999999934607,-7099.6710226139185,-5497.981567389956,306.74957729307664,1.98e+03
1700000,3399.9999999334245,-6999.049830330892,-5498.128727890757,287.4507990435586,1.98e+03
1725000,3449.999999932242,-6967.682988275988,-5406.520809243764,298.9879448492161,1.98e+03
1750000,3499.99999993106,-7085.328760697992,-5420.867497715195,318.77139927182736,1.98e+03
1775000,3549.9999999298775,-7059.464721580148,-5465.578899525782,305.25505463869035,1.98e+03
1800000,3599.999999928695,-7059.000609025506,-5529.923083270754,292.84321198707494,1.98e+03
1825000,3649.999999927513,-7019.069587679206,-5482.909179138688,294.19969922214045,1.98e+03
1850000,3699.9999999263305,-7081.907984918509,-5549.824199142021,293.4189596689326,1.98e+03
1875000,3749.999999925148,-7005.300281453556,-5365.568865209254,314.03523146550623,1.98e+03
1900000,3799.999999923966,-7069.627077388952,-5492.095624844991,302.1229269232649,1.98e+03
1925000,3849.9999999227834,-7039.558354308516,-5439.3020408344,306.47510734228024,1.98e+03
1950000,3899.999999921601,-7082.446060894154,-5436.110255830944,315.3000793246661,1.98e+03
1975000,3949.9999999204188,-7100.947285117344,-5481.279066852804,310.1928027853607,1.98e+03
