#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7080.869027884124,-5475.255412308691,307.50111781494115,0
50000,99.99999999994834,-7133.173766463039,-5497.009929471782,313.3519820226994,1.9e+03
75000,149.99999999998812,-7058.255314525851,-5584.429849582051,282.26154383470464,1.89e+03
100000,200.00000000022686,-7048.0618433423515,-5531.841187727818,290.3809122772525,1.9e+03
125000,250.0000000004656,-7094.7029344506,-5522.660236121743,301.0717412331442,1.89e+03
150000,300.00000000070435,-7073.811009271577,-5479.315063976943,305.3719031610044,1.89e+03
175000,350.0000000009431,-7042.430522098048,-5498.397850004787,295.7073657109644,1.89e+03
200000,400.00000000118183,-7061.569281845204,-5492.359798516897,300.52913448689606,1.88e+03
225000,450.0000000014206,-7102.16700854707,-5569.991523958378,293.43652148267245,1.88e+03
250000,500.0000000016593,-7067.228300198428,-5488.36252520069,302.37847137186816,1.89e+03
275000,550.000000000818,-7129.292020149708,-5504.596102302291,311.1556890157557,1.89e+03
300000,599.9999999996356,-7183.688446638732,-5597.82720629594,303.7182167454578,1.89e+03
325000,649.9999999984533,-7030.383808284328,-5401.215078416235,312.0123052544272,1.89e+03
350000,699.999999997271,-7129.972169958002,-5506.594485579315,310.9032258694276,1.89e+03
375000,749.9999999960886,-7133.785264189497,-5619.294701901754,290.0495712704552,1.89e+03
400000,799.9999999949063,-7069.657523125144,-5504.551578054474,299.7432401789634,1.89e+03
425000,849.9999999937239,-7155.8972592334485,-5548.166510739342,307.9065831976083,1.89e+03
450000,899.9999999925416,-7000.427144849625,-5422.13128094114,302.269324130402,1.89e+03
475000,949.9999999913592,-7180.0805779146285,-5624.109230334472,297.99381621302643,1.89e+03
500000,999.9999999901769,-7151.530574111899,-5651.81924012407,287.2191087117299,1.89e+03
525000,1049.9999999889947,-7050.795535105746,-5473.174082092961,302.14016347662937,1.9e+03
550000,1099.9999999878123,-7093.24206445767,-5447.950148330452,315.1001576177384,1.9e+03
575000,1149.99999998663,-7040.907309938946,-5405.215128931842,313.26165223168124,1.9e+03
600000,1199.9999999854476,-7168.208608312172,-5577.030161326428,304.7365482858109,1.9e+03
625000,1249.9999999842653,-7107.0743249989155,-5500.115436583545,307.7587594405689,1.89e+03
650000,1299.999999983083,-7105.509561455087,-5427.925862016658,321.284559249682,1.89e+03
675000,1349.9999999819006,-7162.231275301495,-5480.664955358449,322.0472958415508,1.89e+03
700000,1399.9999999807183,-7085.419166960852,-5608.827328077218,282.7913494308587,1.9e+03
725000,1449.999999979536,-7061.761478210493,-5414.0219112593195,315.56892255413777,1.9e+03
750000,1499.9999999783536,-7191.820826180265,-5673.885070563109,290.70938181865057,1.9e+03
775000,1549.9999999771712,-7244.835159596903,-5592.551556549894,316.4391793614459,1.9e+03
800000,1599.9999999759889,-7058.6880803469285,-5508.07266577035,296.9680679448468,1.9e+03
