#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7161.630666841173,-5550.092959847333,308.6356776589326,0
50000,99.99999999994834,-7167.23455827954,-5593.634594994654,301.3699827964116,1.87e+03
75000,149.99999999998812,-7036.507336837436,-5550.595972956215,284.57619002168525,1.89e+03
100000,200.00000000022686,-7066.977620251259,-5410.38554165094,317.2643224941828,1.89e+03
125000,250.0000000004656,-7211.682928013161,-5698.326855563479,289.8322980174325,1.89e+03
150000,300.00000000070435,-7159.407120725454,-5602.403996197416,298.19141827726617,1.89e+03
175000,350.0000000009431,-7034.45231939151,-5438.694161470897,305.61363740493675,1.88e+03
200000,400.00000000118183,-7150.605828084483,-5476.204249674797,320.6751313251371,1.88e+03
225000,450.0000000014206,-6955.6355841513905,-5392.267684503002,299.4103762165629,1.88e+03
250000,500.0000000016593,-7098.008216969852,-5585.0608500826265,289.7540242558665,1.88e+03
275000,550.000000000818,-7038.419790336921,-5489.525902619906,296.63836755583094,1.88e+03
300000,599.9999999996356,-7122.253304648937,-5572.888177328696,296.72861760313083,1.88e+03
325000,649.9999999984533,-7057.175248546651,-5460.312647363788,305.8251562500752,1.88e+03
350000,699.999999997271,-7093.394419095242,-5630.4935345199565,280.1693090389917,1.87e+03
375000,749.9999999960886,-7170.001664665675,-5485.855868279663,322.54130752773426,1.87e+03
400000,799.9999999949063,-7157.212500604034,-5625.213830921815,293.40265855272503,1.87e+03
425000,849.9999999937239,-7181.511047445826,-5616.309749492238,299.76150180666764,1.87e+03
450000,899.9999999925416,-7223.242602830044,-5562.976565300874,317.96794537484874,1.87e+03
475000,949.9999999913592,-6983.977466441198,-5460.593265980271,291.75284760865156,1.87e+03
500000,999.9999999901769,-7202.840687869018,-5687.836579777139,290.147923643211,1.87e+03
525000,1049.9999999889947,-7075.489321727228,-5427.610434214952,315.59560470721493,1.87e+03
550000,1099.9999999878123,-7134.766809331938,-5598.867028995159,294.14978468279793,1.87e+03
575000,1149.99999998663,-7147.982945370737,-5579.147664646468,300.45746860295316,1.87e+03
600000,1199.9999999854476,-7008.107720944236,-5394.764474364573,308.98146785123913,1.87e+03
625000,1249.9999999842653,-6996.9154958135005,-5423.5696852651545,301.32130841434144,1.87e+03
650000,1299.999999983083,-6979.869229557643,-5316.9020997880725,318.4852484639527,1.87e+03
675000,1349.9999999819006,-7049.3478725063505,-5516.3104359483605,293.6015993018258,1.87e+03
700000,1399.9999999807183,-7020.229354721721,-5400.1165541622195,310.27794752462745,1.87e+03
725000,1449.999999979536,-7119.405654804117,-5527.069735215852,304.95822311197253,1.87e+03
750000,1499.9999999783536,-7027.54897180688,-5434.148439827166,305.16211369762436,1.87e+03
775000,1549.9999999771712,-7022.251601806986,-5431.863496404202,304.585185020167,1.86e+03
800000,1599.9999999759889,-7145.561506292818,-5538.836004168424,307.71406217052726,1.86e+03
825000,1649.9999999748065,-7093.152873423943,-5393.858571189758,325.4424927421297,1.86e+03
850000,1699.9999999736242,-7234.063629892338,-5568.3213531573965,319.01673423716375,1.86e+03
875000,1749.9999999724419,-7170.836821892077,-5617.879780541683,297.4165275514847,1.86e+03
900000,1799.9999999712595,-7131.595092484943,-5564.67674635683,300.090344454666,1.87e+03
925000,1849.9999999700772,-7088.188988801847,-5516.377374297335,301.0274849229049,1.87e+03
950000,1899.9999999688948,-7201.340892669613,-5505.423235296278,324.79581034039666,1.87e+03
975000,1949.9999999677125,-7133.345504247285,-5472.838365849113,318.01412011203655,1.87e+03
1000000,1999.9999999665301,-7075.579341018043,-5368.461631349851,326.94080248971903,1.87e+03
1025000,2049.999999965348,-7030.823908678611,-5461.983923881864,300.45836950933005,1.86e+03
1050000,2099.9999999641655,-7147.635015469657,-5545.3040444620365,306.8724379979544,1.86e+03
