#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-6916.572021855952,-5352.493180133852,299.5465331849937,0
50000,99.99999999994834,-6951.59047614585,-5362.504759073374,304.33575647551953,1.96e+03
75000,149.99999999998812,-7067.160219175672,-5506.421168421401,298.90690890309105,1.95e+03
100000,200.00000000022686,-7024.810192912351,-5503.603271927183,291.3358631822014,1.94e+03
125000,250.0000000004656,-7082.617272513427,-5507.970424965249,301.57047815722746,1.94e+03
150000,300.00000000070435,-7157.653979082285,-5610.674968491622,296.27163744647004,1.95e+03
175000,350.0000000009431,-7144.504363030119,-5667.641784002913,282.84320057111967,1.94e+03
200000,400.00000000118183,-6977.661100293917,-5354.645679078052,310.83384658263634,1.94e+03
225000,450.0000000014206,-7015.5242044304505,-5582.4092100168755,274.46482669592416,1.94e+03
250000,500.0000000016593,-7007.733378045015,-5418.37900998072,304.387207509246,1.93e+03
275000,550.000000000818,-7027.797626033834,-5416.217285099016,308.64384275194146,1.93e+03
300000,599.9999999996356,-6971.107775156533,-5478.745061775696,285.8117283624805,1.93e+03
325000,649.9999999984533,-7107.001601115395,-5565.2133549497685,295.2775216470467,1.92e+03
350000,699.999999997271,-7099.285286745663,-5573.127331656493,292.2840667266605,1.92e+03
375000,749.9999999960886,-7171.66186279662,-5651.255388978871,291.1825645327968,1.93e+03
400000,799.9999999949063,-7027.480932428221,-5435.275304517172,304.93327013698706,1.93e+03
425000,849.9999999937239,-7069.943251482134,-5548.707405606608,291.3414027690805,1.93e+03
450000,899.9999999925416,-7209.661971805231,-5569.475601436079,314.122362578863,1.93e+03
475000,949.9999999913592,-7141.674550013453,-5511.432232484234,312.2179147501776,1.92e+03
500000,999.9999999901769,-7171.623924074412,-5588.74698243632,303.14667501294696,1.92e+03
525000,1049.9999999889947,-6970.909078958833,-5476.293874988591,286.2431169402745,1.92e+03
550000,1099.9999999878123,-7045.288264700892,-5533.741237985807,289.485836340619,1.92e+03
575000,1149.99999998663,-7251.472763540555,-5647.313510093829,307.22258381650795,1.92e+03
600000,1199.9999999854476,-7258.219821617293,-5766.254597029793,285.7356027946077,1.92e+03
625000,1249.9999999842653,-7076.916383880502,-5528.46793965771,296.5530578829006,1.91e+03
650000,1299.999999983083,-7146.463656758196,-5546.252748142828,306.46641157345783,1.92e+03
675000,1349.9999999819006,-7084.670383391944,-5491.926579437505,305.036339601096,1.92e+03
700000,1399.9999999807183,-7058.524099353899,-5471.871471165194,303.86978038747156,1.92e+03
725000,1449.999999979536,-7064.382802303822,-5362.036253307717,326.0270476325671,1.92e+03
750000,1499.9999999783536,-6973.580314085753,-5443.50250262406,293.0347829665654,1.92e+03
775000,1549.9999999771712,-7127.225373535391,-5563.6992627147,299.44067622888326,1.92e+03
800000,1599.9999999759889,-7143.821080438261,-5637.8223895482915,288.423239803267,1.92e+03
825000,1649.9999999748065,-7014.799607068771,-5456.572691984307,298.4257940700609,1.92e+03
850000,1699.9999999736242,-7103.574341509557,-5522.476364394111,302.80597437740147,1.92e+03
875000,1749.9999999724419,-6998.256922099423,-5435.758383169615,299.2438795014412,1.91e+03
900000,1799.9999999712595,-7156.6321816167565,-5534.406703663558,310.6825596018061,1.91e+03
925000,1849.9999999700772,-7053.899751397694,-5456.0056100524025,306.02271296605005,1.91e+03
950000,1899.9999999688948,-7154.661026619971,-5664.907610239218,285.31200555466836,1.91e+03
975000,1949.9999999677125,-7156.406139388892,-5453.087267858355,326.21326320978574,1.91e+03
1000000,1999.9999999665301,-7000.936471918553,-5461.4354138109275,294.8394879397676,1.92e+03
1025000,2049.999999965348,-7142.648095750858,-5610.143233731853,293.4996026169017,1.91e+03
1050000,2099.9999999641655,-7166.927376642204,-5639.497808851247,292.52760123797384,1.91e+03
1075000,2149.999999962983,-7092.476962143193,-5537.530203969848,297.79759067978506,1.91e+03
1100000,2199.9999999618008,-7148.417149038514,-5557.751410302428,304.638356318358,1.91e+03
1125000,2249.9999999606184,-7235.2286523012335,-5660.315756417237,301.6214307400053,1.91e+03
1150000,2299.999999959436,-7135.349025502731,-5547.882447494785,304.02566501427947,1.91e+03
1175000,2349.9999999582537,-7095.732747830871,-5558.660415104648,294.37434753338215,1.91e+03
1200000,2399.9999999570714,-7145.35040685515,-5609.881508422222,294.067263791224,1.91e+03
1225000,2449.999999955889,-7219.106283261941,-5680.010311040475,294.76190740507553,1.91e+03
1250000,2499.9999999547067,-7054.210221222869,-5399.266575325215,316.9486208248677,1.91e+03
1275000,2549.9999999535244,-7264.837564828042,-5719.507890383648,295.9557627530128,1.91e+03
1300000,2599.999999952342,-7058.242417832551,-5505.955908025239,297.28810985682406,1.91e+03
1325000,2649.9999999511597,-6992.66064031559,-5456.059409367658,294.28412388179885,1.91e+03
1350000,2699.9999999499773,-7116.7749470358585,-5670.675303253154,276.9515982060245,1.91e+03
1375000,2749.999999948795,-7232.398087472466,-5769.402490304756,280.1874480406539,1.91e+03
1400000,2799.9999999476127,-7132.341379799242,-5609.058967557954,291.73335350931416,1.91e+03
1425000,2849.9999999464303,-7219.28218278287,-5581.193527227588,313.72061607904226,1.91e+03
1450000,2899.999999945248,-7119.686707743369,-5612.389479348687,288.6719308521907,1.91e+03
1475000,2949.9999999440656,-7071.835534887077,-5551.31399514528,291.20460152845016,1.91e+03
1500000,2999.9999999428833,-7160.143791820463,-5661.299085613145,287.05313539869155,1.91e+03
1525000,3049.999999941701,-7173.480737122074,-5544.4495668629725,311.98596035231583,1.91e+03
1550000,3099.9999999405186,-7066.571226027902,-5473.830739389213,305.035704281184,1.91e+03
1575000,3149.9999999393362,-7164.937184885465,-5523.917414775478,314.28197218195015,1.91e+03
1600000,3199.999999938154,-7004.422570591057,-5525.598585633679,283.2188417030619,1.91e+03
1625000,3249.9999999369716,-7037.988866147665,-5396.168736958478,314.43525396102825,1.91e+03
1650000,3299.999999935789,-6976.7074067060485,-5352.9737891168115,310.9713928674211,1.91e+03
1675000,3349.999999934607,-7026.560579033864,-5359.268602122996,319.3135270220236,1.91e+03
1700000,3399.9999999334245,-7094.596472583973,-5547.884594868237,296.220477156816,1.91e+03
1725000,3449.999999932242,-7169.726241050143,-5599.351211415661,300.7523555586015,1.91e+03
1750000,3499.99999993106,-7005.741190371413,-5352.479328529406,316.6265318290979,1.91e+03
1775000,3549.9999999298775,-7128.887843443932,-5577.496394313583,297.11669118174063,1.91e+03
1800000,3599.999999928695,-7243.222931507309,-5674.336512617547,300.46726239325216,1.91e+03
1825000,3649.999999927513,-7116.706886670711,-5610.140733764685,288.5319180073892,1.91e+03
1850000,3699.9999999263305,-7145.297164555368,-5529.391244497299,309.4722614964601,1.91e+03
1875000,3749.999999925148,-7093.365593869326,-5513.27642563425,302.6127710715963,1.91e+03
1900000,3799.999999923966,-7046.683810494663,-5510.769568175971,294.15255438751433,1.91e+03
1925000,3849.9999999227834,-7018.112958366962,-5426.46328350007,304.826796088142,1.91e+03
1950000,3899.999999921601,-6964.051365324571,-5335.713747108056,311.8531338576414,1.91e+03
1975000,3949.9999999204188,-7200.870183903003,-5682.69166599671,290.7558747448122,1.91e+03
2000000,3999.9999999192364,-7001.6908610444825,-5454.621847273964,296.288874519041,1.91e+03
2025000,4049.999999918054,-7232.874391112417,-5639.994924261929,305.06232125183465,1.91e+03
2050000,4099.999999917781,-7091.15030245182,-5521.434847960505,300.62603619269737,1.91e+03
2075000,4149.999999927967,-7205.453562908866,-5572.929063966752,312.65498960350106,1.91e+03
2100000,4199.999999938153,-7171.426539758146,-5631.595206504443,294.9027410011642,1.91e+03
2125000,4249.99999994834,-7140.172261448707,-5545.286043198648,305.4466467785732,1.91e+03
2150000,4299.999999958526,-7186.091500976856,-5550.173056339206,313.30498539642207,1.91e+03
2175000,4349.9999999687125,-7097.022308302521,-5623.915199059164,282.12396703619476,1.91e+03
2200000,4399.999999978899,-6950.882010434023,-5477.437207825521,282.18864080717765,1.91e+03
2225000,4449.999999989085,-7140.652764578297,-5549.6024640823025,304.7120061491101,1.91e+03
2250000,4499.9999999992715,-7121.150326403871,-5591.788532790351,292.897653904783,1.91e+03
2275000,4550.000000009458,-7024.766444047471,-5393.411117188346,312.4310741365733,1.91e+03
2300000,4600.000000019644,-7224.45119190337,-5621.528016085449,306.98585484954083,1.91e+03
2325000,4650.0000000298305,-7115.454489809132,-5573.485775917764,295.3120841512859,1.91e+03
2350000,4700.000000040017,-7068.151643992231,-5428.278036714245,314.0624633607623,1.91e+03
2375000,4750.000000050203,-7021.2328676694715,-5374.124914181687,315.44795830462283,1.91e+03
2400000,4800.0000000603895,-7098.035240856296,-5610.750455497771,284.8392225691206,1.91e+03
2425000,4850.000000070576,-7034.413586011062,-5380.979333866945,316.6595473753571,1.91e+03
2450000,4900.000000080762,-7123.100545010636,-5567.271339743147,297.96659364863734,1.91e+03
2475000,4950.000000090949,-7057.3482335886,-5517.3607156489015,294.93265290840225,1.91e+03
2500000,5000.000000101135,-7107.445510045087,-5414.912292341542,324.1476351059927,1.91e+03
2525000,5050.000000111321,-7107.698997176513,-5493.448567819108,309.1552081057514,1.91e+03
2550000,5100.000000121508,-6907.278617040922,-5247.273082148228,317.91805488367885,1.91e+03
2575000,5150.000000131694,-7033.988704184825,-5386.770598995785,315.46905414669635,1.91e+03
2600000,5200.00000014188,-7094.231769406587,-5442.842728068252,316.2678562469035,1.91e+03
2625000,5250.000000152067,-7121.668339139892,-5532.386032590313,304.3734065573161,1.91e+03
2650000,5300.000000162253,-7200.18585793593,-5666.295919788957,293.7648672194668,1.91e+03
2675000,5350.000000172439,-6993.857673142571,-5401.2371456096025,305.0127301616677,1.91e+03
2700000,5400.000000182626,-7107.563381572947,-5626.58295600589,283.6318351477769,1.91e+03
2725000,5450.000000192812,-7007.019170279088,-5505.250222213095,287.6131752685462,1.91e+03
2750000,5500.000000202998,-7064.856309314175,-5419.720591592917,315.0702430829041,1.91e+03
2775000,5550.000000213185,-7081.138859818422,-5464.667381188736,309.5805751600184,1.91e+03
2800000,5600.000000223371,-7077.560442122634,-5384.300502888564,324.28681409700846,1.91e+03
2825000,5650.000000233557,-7116.929035201643,-5544.542371117326,301.13761626887384,1.91e+03
2850000,5700.000000243744,-7060.534433018897,-5475.29086637734,303.59992218708345,1.91e+03
2875000,5750.00000025393,-7089.467504753493,-5505.929697042882,303.27324161281524,1.91e+03
2900000,5800.000000264116,-7045.16035242476,-5405.7086099595,313.9816693887746,1.91e+03
2925000,5850.000000274303,-6992.8046830682615,-5414.876971653412,302.19881694098814,1.91e+03
2950000,5900.000000284489,-7143.76430610908,-5540.089769454529,307.12975266835895,1.91e+03
2975000,5950.000000294675,-7177.9520386143895,-5791.482188199721,265.5315230784394,1.91e+03
3000000,6000.000000304862,-7004.718295740557,-5521.439629436115,284.07198562289625,1.91e+03
3025000,6050.000000315048,-6959.819756791771,-5525.515596088753,274.69257137853293,1.91e+03
3050000,6100.000000325234,-7046.739251027833,-5544.483196883472,287.7064640038556,1.91e+03
3075000,6150.000000335421,-7023.313530580126,-5418.794154887436,307.29155308290524,1.91e+03
3100000,6200.000000345607,-7141.935069230356,-5554.469591962855,304.02545420458415,1.91e+03
3125000,6250.000000355793,-7016.529647659549,-5478.662300177644,294.5266057875971,1.91e+03
3150000,6300.00000036598,-7160.515674916927,-5567.322288569684,305.12244194041114,1.91e+03
3175000,6350.000000376166,-7036.3290987538685,-5430.538682281816,307.53497806177364,1.91e+03
3200000,6400.000000386352,-7133.82427002104,-5520.458832447207,308.985717787492,1.91e+03
3225000,6450.000000396539,-7157.237945669156,-5625.973818472376,293.2619817216595,1.91e+03
3250000,6500.000000406725,-7130.914565856938,-5516.511623142175,309.184416893852,1.91e+03
3275000,6550.0000004169115,-6978.740554265419,-5349.199763260043,312.083561012662,1.91e+03
3300000,6600.000000427098,-7066.605648187878,-5627.909864622454,275.5336385731004,1.91e+03
3325000,6650.000000437284,-7125.358805682616,-5655.397751129265,281.52144640202766,1.91e+03
3350000,6700.0000004474705,-7102.942461089757,-5614.130570036894,285.13168814332545,1.91e+03
3375000,6750.000000457657,-7010.08139800927,-5428.358685978525,302.9256212730987,1.91e+03
3400000,6800.000000467843,-7072.440721741792,-5482.554508778356,304.4890644562747,1.91e+03
3425000,6850.0000004780295,-7131.439918137746,-5497.590666835178,312.9087012236044,1.91e+03
3450000,6900.000000488216,-7076.2620071053025,-5424.3565104222525,316.366765843995,1.91e+03
3475000,6950.000000498402,-6988.879936647001,-5387.159838897523,306.7554458350207,1.91e+03
3500000,7000.0000005085885,-7134.913830354571,-5596.15602777758,294.6971424188557,1.91e+03
3525000,7050.000000518775,-7070.670227005879,-5474.196080801374,305.75076080467846,1.9e+03
3550000,7100.000000528961,-7110.80322244644,-5545.872653455579,299.70965280772026,1.9e+03
3575000,7150.000000539148,-7091.723604922421,-5550.155633958433,295.2353353638254,1.9e+03
3600000,7200.000000549334,-7115.542422164201,-5460.819359931772,316.9063754658531,1.9e+03
3625000,7250.00000055952,-7180.223295335561,-5506.836009531221,320.48087779682254,1.9e+03
3650000,7300.000000569707,-7041.275305328379,-5519.708094807358,291.4048644873329,1.9e+03
3675000,7350.000000579893,-7004.878034218992,-5405.495846015598,306.3076981379427,1.9e+03
3700000,7400.000000590079,-7105.862553984863,-5595.885581447923,289.18514543333816,1.9e+03
3725000,7450.000000600266,-7043.088847641755,-5516.324098244107,292.40027770440184,1.9e+03
3750000,7500.000000610452,-7092.44362459719,-5580.993050183157,289.4673641564636,1.9e+03
3775000,7550.000000620638,-7162.322996346384,-5472.285532502373,323.6696576560304,1.9e+03
3800000,7600.000000630825,-7092.065817163864,-5508.408047111467,303.2962163520907,1.9e+03
3825000,7650.000000641011,-6908.7841445819895,-5302.833222942207,307.56571741152345,1.9e+03
3850000,7700.000000651197,-7115.915031050145,-5597.266561964445,290.84587803799826,1.9e+03
3875000,7750.000000661384,-7086.612910102737,-5446.075083542233,314.18967215487515,1.9e+03
3900000,7800.00000067157,-7065.34015930298,-5488.17833183457,302.052137710467,1.9e+03
3925000,7850.000000681756,-7202.0598770489,-5757.001919709406,276.7520983122813,1.9e+03
3950000,7900.000000691943,-7010.637255762495,-5474.424224935031,294.2097772458325,1.9e+03
3975000,7950.000000702129,-7127.1787226336955,-5568.0399113576,298.600437019982,1.9e+03
4000000,8000.000000712315,-7148.68909955249,-5565.896902754532,303.1304449979438,1.9e+03
4025000,8050.000000722502,-7108.00041965042,-5481.836467981426,311.436841365702,1.9e+03
4050000,8100.000000732688,-7105.4784842194795,-5454.318978401341,316.22389646208734,1.9e+03
4075000,8150.000000742874,-7033.26388625685,-5423.716107984119,308.2545739486894,1.9e+03
4100000,8200.00000075306,-7095.412271957255,-5419.906207194083,320.886658422948,1.9e+03
4125000,8250.000000763246,-7069.683285058452,-5611.60798181547,279.2451317404215,1.9e+03
4150000,8300.000000773432,-7065.041476733166,-5525.468627888087,294.85323703344835,1.9e+03
4175000,8350.000000783619,-7134.776691533,-5589.04004843376,296.03370386852606,1.9e+03
4200000,8400.000000793805,-7130.205073365631,-5501.477282792657,311.9278582088724,1.9e+03
4225000,8450.000000803991,-7203.370919017167,-5662.232786750342,295.15301426329677,1.9e+03
4250000,8500.000000814178,-7076.716487372486,-5571.339589630577,288.30415630383493,1.9e+03
4275000,8550.000000824364,-7128.017461462918,-5625.559702634103,287.74509373104297,1.91e+03
4300000,8600.00000083455,-6921.714930223552,-5295.2707448248,311.49051068210173,1.9e+03
4325000,8650.000000844737,-7106.387339120759,-5478.797505002116,311.7099210424603,1.9e+03
4350000,8700.000000854923,-7182.687341964469,-5545.73190617102,313.5035860662712,1.9e+03
4375000,8750.00000086511,-7102.577437679092,-5481.283504248981,310.50415367689044,1.9e+03
4400000,8800.000000875296,-7149.434342949731,-5565.747725228525,303.30174114978735,1.9e+03
4425000,8850.000000885482,-7030.738424272915,-5377.715787249101,316.5807163861484,1.9e+03
4450000,8900.000000895669,-7258.811144637502,-5683.25579697472,301.744470703171,1.9e+03
4475000,8950.000000905855,-7146.461606366531,-5603.98555894214,295.4092467730999,1.9e+03
4500000,9000.000000916041,-7096.091545682957,-5595.888339344408,287.31331026570354,1.9e+03
4525000,9050.000000926228,-7097.2320010417425,-5560.161268708744,294.3740410320542,1.9e+03
4550000,9100.000000936414,-7115.613419560433,-5565.9988988220175,296.7763804983381,1.9e+03
